puma_name,puma_id
Brooklyn Community District 1--Greenpoint & Williamsburg,4001
Brooklyn Community District 4--Bushwick,4002
Brooklyn Community District 3--Bedford-Stuyvesant,4003
Brooklyn Community District 2--Brooklyn Heights & Fort Greene,4004
"Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook",4005
Brooklyn Community District 8--Crown Heights North & Prospect Heights,4006
Brooklyn Community District 16--Brownsville & Ocean Hill,4007
Brooklyn Community District 5--East New York & Starrett City,4008
Brooklyn Community District 18--Canarsie & Flatlands,4009
"Brooklyn Community District 17--East Flatbush, Farragut & Rugby",4010
"Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate",4011
Brooklyn Community District 7--Sunset Park & Windsor Terrace,4012
Brooklyn Community District 10--Bay Ridge & Dyker Heights,4013
"Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",4014
Brooklyn Community District 14--Flatbush & Midwood,4015
"Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest",4016
Brooklyn Community District 11--Bensonhurst & Bath Beach,4017
Brooklyn Community District 13--Brighton Beach & Coney Island,4018
"Manhattan Community District 12--Washington Heights, Inwood & Marble Hill",3801
"Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem",3802
Manhattan Community District 10--Central Harlem,3803
Manhattan Community District 11--East Harlem,3804
Manhattan Community District 8--Upper East Side,3805
Manhattan Community District 7--Upper West Side & West Side,3806
"Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District",3807
"Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",3808
Manhattan Community District 3--Chinatown & Lower East Side,3809
"Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho",3810
Queens Community District 1--Astoria & Long Island City,4101
Queens Community District 3--Jackson Heights & North Corona,4102
"Queens Community District 7--Flushing, Murray Hill & Whitestone",4103
"Queens Community District 11--Bayside, Douglaston & Little Neck",4104
"Queens Community District 13--Queens Village, Cambria Heights & Rosedale",4105
"Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest",4106
Queens Community District 4--Elmhurst & South Corona,4107
Queens Community District 6--Forest Hills & Rego Park,4108
Queens Community District 2--Sunnyside & Woodside,4109
"Queens Community District 5--Ridgewood, Glendale & Middle Village",4110
Queens Community District 9--Richmond Hill & Woodhaven,4111
"Queens Community District 12--Jamaica, Hollis & St. Albans",4112
Queens Community District 10--Howard Beach & Ozone Park,4113
"Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel",4114
"Staten Island Community District 3--Tottenville, Great Kills & Annadale",3901
Staten Island Community District 2--New Springville & South Beach,3902
"Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor",3903
"Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",3701
"Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",3702
"Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",3703
"Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",3704
"Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",3705
"Bronx Community District 7--Bedford Park, Fordham North & Norwood",3706
"Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",3707
"Bronx Community District 4--Concourse, Highbridge & Mount Eden",3708
"Bronx Community District 9--Castle Hill, Clason Point & Parkchester",3709
"Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",3710
