uid,facname,factype,latitude,longitude
30645,Achievement First Brooklyn HS,Charter School,40.677357,-73.942108
117539,PS 56-R,Elementary School,40.541948,-74.213901
18272,New World Prep Charter School,Charter School,40.639532,-74.136948
86884,International Cs Of NY Annex,Charter School,40.686806,-73.9771
100180,IS 49,Intermediate School,40.620479,-74.080885
101410,Academic High School,Academic High School,40.702343,-73.929649
96600,PS 124 & Playground,Elementary School,40.665683,-73.811274
8460,Morris Academy For Collaborative Studies,High school - Public,40.82726,-73.903853
88686,Kings Collegiate Charter School,Charter School,40.658896,-73.928745
92654,Community Partnership Charter,Charter School,40.690014,-73.96104
58147,PS 48 & Playground,Elementary School,40.694048,-73.796553
72506,Success Academy Charter Sch-NYC 14,Charter School,40.683946,-73.873688
23664,PS 152 Annex,Elementary School,40.628417,-73.928261
171631,Rosalyn Yalow Charter School,Charter School,40.836704,-73.917321
8671,PS 34,Special Education School,40.850279,-73.883802
41296,Global Community Charter School,Charter School,40.816973,-73.934899
163250,I. S. 381,Junior High-Intermediate-Middle School - Public,40.612588,-73.951438
94605,P.S. 033 Chelsea Prep,Elementary School - Public,40.748987,-74.000202
167875,IS 2 Parking,Intermediate School,40.656789,-73.951161
31600,"PS 138 Annex, E.C.C.#1",Elementary School,40.673768,-73.944966
40428,PS 152,Elementary School,40.753092,-73.900585
31751,PS 106 & Playground,Elementary School,40.693322,-73.913384
144539,Bronx Charter Sch-Excellence,Charter School,40.834093,-73.858542
134444,NYC Montessori Charter School,Charter School,40.808883,-73.92177
54825,Cardinal Mccloskey Community Charter,Charter School,40.851358,-73.887493
61545,Brooklyn Gardens Elementary School,Elementary School - Public,40.665554,-73.897632
117546,PS 35 & Playground,Elementary School,40.613426,-74.099502
41584,Achievement First Brownsville Charte,Charter School,40.674486,-73.913494
137027,The Family School,Elementary School - Public,40.832059,-73.917561
62719,Success Academy Charter School - Bronx 2,K-8 School - Charter,40.832255,-73.9142
105019,PS 122,Elementary School,40.882549,-73.893726
73030,Marta Valle High School,High school - Public,40.720182,-73.98597
131113,P.S. 015 Patrick F. Daly,Elementary School - Public,40.676941,-74.011652
62837,Lucero Elementary School,Elementary School - Public,40.840348,-73.915764
199711,Bronx Charter Sch For Excellence 5,Charter School,40.808756,-73.948875
135860,International Community High School,High school - Public,40.810208,-73.918450000000007
107695,Abraham Lincoln High School,High school - Public,40.582355,-73.968278
121745,P.S. 134 Henrietta Szold,Elementary School - Public,40.714351,-73.983048
114404,The Urban Assembly School For Law And Justice,High school - Public,40.694632,-73.988348
134437,Neighborhood School,Elementary School - Public,40.724425,-73.986221
162530,Muscota,Elementary School - Public,40.866366,-73.9239
92483,International High School At Lafayette,High school - Public,40.593591,-73.986157
83529,The Longwood Academy For Discovery,Elementary School - Public,40.820114,-73.898439
115468,The High School Of Fashion Industries,High school - Public,40.745671,-73.996355
99974,PS 19,Elementary School,40.630828,-74.127078
7225,John Ericsson Middle School 126,Junior High-Intermediate-Middle School - Public,40.719672,-73.948025
75660,PS 65,Elementary School,40.683395,-73.877248
82698,The Math & Science Exploratory School,Junior High-Intermediate-Middle School - Public,40.684276,-73.981105
119117,Brooklyn Democracy Academy,High school - Public,40.655764,-73.906688
77069,P.S. 282 Park Slope,K-8 School - Public,40.676633,-73.977799
5434,J.H.S. 057 Whitelaw Reid,Junior High-Intermediate-Middle School - Public,40.691539,-73.933211
84260,Queens High School For The Sciences At York College,High school - Public,40.700895,-73.798339
105828,Kurt Hahn Expeditionary Learning School,High school - Public,40.64804,-73.922224
69925,Sunset Park Prep,Junior High-Intermediate-Middle School - Public,40.652207,-74.007631
125830,"Felisa Rincon De Gautier Institute For Law And Public Policy, The",High school - Public,40.820829,-73.880771
108933,I.S. 171 Abraham Lincoln,Junior High-Intermediate-Middle School - Public,40.685879,-73.869441
30234,High School For Media And Communications,High school - Public,40.855599,-73.926191
77047,P.S. 025 Bilingual School,Elementary School - Public,40.812835,-73.905695
110881,Esperanza Preparatory Academy,Secondary School - Public,40.792563,-73.942021
138586,Bronx High School For Law And Community Service,High school - Public,40.859514,-73.888599
6000,Citizens Of The World Charter School 1 Williamsburg,Elementary School - Charter,40.719672,-73.948025
8585,Dream Charter School,K-12 all grades School - Charter,40.785632,-73.940974
61473,Achievement First East New York Charter School,K-12 all grades School - Charter,40.663882,-73.893277
104053,P.S. 398 Walter Weaver,Elementary School - Public,40.663965,-73.927899
75623,Long Island City High School,High school - Public,40.765523,-73.933106
136906,"PS 128 Plygrnd & Mini-Schl,Jop",Elementary School,40.841452,-73.938072
42336,Brooklyn Ascend Charter Middle Sch,Charter School,40.664091,-73.921701
160336,P.S. 330,Elementary School - Public,40.757617,-73.858922
86227,Global Technology Preparatory,Junior High-Intermediate-Middle School - Public,40.80079,-73.939341
5332,M.S. 035 Stephen Decatur,Junior High-Intermediate-Middle School - Public,40.68165,-73.935747
68227,P.S. Q016 The Nancy Debenedittis School,Elementary School - Public,40.722628,-73.838687
103191,P.S. 140 Nathan Straus,K-8 School - Public,40.7191,-73.983552
83494,P.S. 046 Edward C. Blum,Elementary School - Public,40.694489,-73.971635
74907,El Puente Academy For Peace And Justice,High school - Public,40.705646,-73.955536
88768,P.S. 058,Elementary School - Public,40.846263,-73.898899
62631,P.S. 053 Basheer Quisim,Elementary School - Public,40.832626,-73.911919
113005,"The Brooklyn New School, P.S. 146",Elementary School - Public,40.679541,-74.001941
77447,J.H.S. 088 Peter Rouget,Junior High-Intermediate-Middle School - Public,40.660496,-73.988286
105057,Bronx Collaborative High School,High school - Public,40.88128,-73.887483
39596,Brooklyn Studio Secondary School,Secondary School - Public,40.604995,-73.995081
90207,P.S. 335 Granville T. Woods,Elementary School - Public,40.674425,-73.92828
54897,PS 44,Elementary School,40.631675,-74.157325
86983,Brooklyn East Collegiate Charter School,Junior High-Intermediate-Middle School - Charter,40.678607,-73.966183
103458,Landmark High School,High school - Public,40.743356,-74.0025
198892,J.H.S. 383 Philippa Schuyler,Junior High-Intermediate-Middle School - Public,40.697694,-73.919288
99218,Business Technology Early College High School,High school - Public,40.733769,-73.739231
137027,The Family School,Elementary School - Public,40.832059,-73.917561
4249,P.S. 321 William Penn,Elementary School - Public,40.671676,-73.978353
62311,J.H.S. 123 James M. Kieran,Junior High-Intermediate-Middle School - Public,40.82497,-73.873999
64239,P.S. 117 J. Keld / Briarwood School,Elementary School - Public,40.710305,-73.813031
62631,P.S. 053 Basheer Quisim,Elementary School - Public,40.832626,-73.911919
115065,Lighthouse Elementary School,Elementary School - Public,40.594606,-73.767023
137960,Urban Assembly Cs - Computer Science,Charter School,40.831814,-73.878702
110862,P.S. 095 Sheila Mencher,K-8 School - Public,40.883103,-73.891558
129513,P.S./I.S. 78q,K-8 School - Public,40.744322,-73.956955
61386,Pre-K Annex Of PS 276,Elementary School,40.634617,-73.906408
30516,Brooklyn Prospect Charter-Csd 15,Charter School,40.647946,-73.978706
117318,P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,K-8 School - Public,40.695397,-73.959993
92603,Achievement First Brownsville Charter School,K-12 all grades School - Charter,40.674491,-73.91326
129421,P.S. 129 John H. Finley,K-8 School - Public,40.814976,-73.952175
96619,P.S. 120 Queens,Elementary School - Public,40.745172,-73.828903
76579,St. Hope Leadership Academy Charter School,Junior High-Intermediate-Middle School - Charter,40.814944,-73.945854
95546,Roads Charter School II,High school - Charter,40.823276,-73.898313
125769,Community Action School - Ms 258,Junior High-Intermediate-Middle School - Public,40.791462,-73.970972
